id_culinary_place,name,address,cp,open,close,geom,description,lat,lng
C1,Kios Fastfood,"Pasir Talang Sel., Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",81503703921,7:00:00,18:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",Kios Fastfood,-1.481014,10.105.9685
C2,Dhapoer Iciak Cafe & Resto,"Jln raya cuaca No.77, Pasir Talang Sel., Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",81270002899,8:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",Dhapoer Iciak Cafe & Resto,-1.4780539129,101.050464626
C3,Rumah Makan Barokah,"Ps. Muara Labuh, Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",81261428398,9:30:00,17:30:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",Rumah Makan Barokah,-1.4787743128,101.056269655
C4,Warung Nasi Tina,"Jl. Raya Rawang No.63, Pasir Talang Sel., Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",85274771733,10:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",Warung Nasi Tina,-1.47573607,101.043659116
C5,Rumah Makan Singgalang,"Ps. Muara Labuh, Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",82268631614,8:00:00,22:30:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",Rumah Makan Singgalang,-1.478177644,101.05419273
C6,Sate Pak Cun,"Ps. Muara Labuh, Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",85274426750,7:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",,-1.478786610,101.05571372
C7,Ampera Ida,"Ps. Muara Labuh, Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",82386505303,7:00:00,20:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",,-1.4788540808,101.05604495
C8,Cafe es batok,"Ps. Muara Labuh, Kec. Sungai Pagu, Kabupaten Solok Selatan, Sumatera Barat 27776",82170547588,10:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",,-1.478661548,101.05523650
C9,Mpek Mpek Cek Zia,"Jln. Lintas padang muara - labuh. Pakan rabaa tengah batu kulambai, Taman kota, Kec. Koto Parik Gadang Diateh, Kabupaten Solok Selatan, Sumatera Barat 27776",081278050528,11:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }",,-1.479177299,101.0536569
