id_culinary_place,name,address,cp,open,close,geom,description,lat,lng
C1,Ampera Salero Kampuang,"Sumpur, Batipuh Selatan, Kabupaten Tanah Datar, Sumatera Barat",81503703921,7:00:00,20:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Ampera Salero Kampung berada di Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081503703921. Rumah makan ini dapat menampung 22 pengunjung.",-52.883.627,10.048.678.23
C2,Kelok Aie Bareh,"Sumpur, Batipuh Selatan, Kabupaten Tanah Datar, Sumatera Barat",81383762676,9:00:00,16:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Rumah Makan Kelok Aie Bareh berada di Jalan Raya Padang-Solok, Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081383762676. Rumah makan ini dapat menampung 44 pengunjung.",-52.259.590,10.049.614.34
C3,Ayam Penyet Bang Tomi,,8139193877,14:00:00,22:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Ayam Penyet Bang Tomi berada di Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 08139193877. Rumah makan ini dapat menampung 32 pengunjung.",-52.340.462,10.049.266.29
C4,Bofet Linduang Bulan,,81477427677,16:00:00,23:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Bofet Linduang Bulan berada di Jalan Raya Padang-Solok, Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081477427677. Rumah makan ini dapat menampung 26 pengunjung.",-52.672.196,10.049.956.1
C5,Ampera Kelok (Tek Rat),,81898531397,9:00:00,14:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Ampera Kelok (Tek Rat) berada di Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081898531397. Rumah makan ini dapat menampung 17 pengunjung.",-54.275.497,10.048.538.74
C6,Ampera Mak Ujang,,81676186505,9:00:00,16:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Ampera Mak Ujang berada di Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081676186505. Rumah makan ini dapat menampung 38 pengunjung.",-54.297.579,10.048.507.91
C7,Nasi Goreng Pak Muslim,,81972080257,7:00:00,20:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Nasi Goreng Pak Muslim berada di Pasar Inpres, Tj. Barulak, Kecamatan Batipuh, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081972080257. Rumah makan ini dapat menampung 27 pengunjung.",-52.499.129,10.049.791.52
C8,Bilih Abuih dan Goreng Tek Man,,81686346839,16:00:00,21:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Bilih Abuih dan Goreng Tek Man berada di Sumpur, Kecamatan Batipuh Selatan, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081686346839. Rumah makan ini dapat menampung 29 pengunjung.",-53.401.668,10.050.486.78
C9,Karupuak Guguk Nyariang Tubia Yeni,,81300912852,8:00:00,21:00:00,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [ 101.058527513606336, -1.483630216670911 ], [ 101.057969614131238, -1.484102127152312 ], [ 101.058742090327513, -1.48433808235526 ], [ 101.058527513606336, -1.483630216670911 ] ] ] }","Karupuak Guguk Nyariang Tubia Yeni berada di Jl.Limau manis, Bungo Tj.,  Kecamatan Batipuh, Kabupaten Tanah Datar. Buka dari jam 09.00 - 21.00 WIB. Untuk pemesanan bisa menghubungi No.HP 081300912852. Rumah makan ini dapat menampung 20 pengunjung.",-51.402.185,10.048.361.93
